,actual,predictions,difference,difference_percentage
0,0.056735606484069306,0.05272258445620537,0.004013022027863938,7.073198431377918
1,0.061496845803721154,0.05869264900684357,0.0028041967968775866,4.559903455581629
2,0.08168969096861774,0.050166428089141846,0.03152326287947589,38.5890343147289
3,0.09266948814181905,0.044263191521167755,0.048406296620651296,52.23542029990661
4,0.0796634193084724,0.04509430378675461,0.03456911552171779,43.3939640324242
5,0.05653597380819292,0.04496920481324196,0.01156676899495096,20.459131090928093
6,0.05453964704942905,0.04530433937907219,0.009235307670356858,16.933200286365878
7,0.05006787510979797,0.0485333651304245,0.0015345099793734676,3.0648594053738334
8,0.04356983151002156,0.04336824268102646,0.00020158882899510427,0.46267984522441064
9,0.06272458676036093,0.04406372085213661,0.018660865908224314,29.75048042885972
10,0.06284436636588676,0.04884261265397072,0.014001753711916046,22.28004596370072
11,0.058492374031781515,0.054458972066640854,0.004033401965140661,6.895603113918976
12,0.048979877026271657,0.053959764540195465,0.004979887513923809,10.16721114112376
13,0.04685378902818813,0.05492222309112549,0.008068434062937356,17.22045160122105
14,0.04716321967579653,0.05928012728691101,0.012116907611114482,25.69143433041044
15,0.04878024435039527,0.0626344084739685,0.013854164123573237,28.401178198405187
16,0.0537411163459235,0.0520896278321743,0.0016514885137491955,3.0730446742468316
17,0.04176315579334025,0.058786340057849884,0.017023184264509633,40.761249817295244
18,0.04692366046474487,0.06946341693401337,0.0225397564692685,48.03494920479038
19,0.05404056535973808,0.06464087963104248,0.010600314271304402,19.615476264432218
20,0.06066837019883414,0.06089125573635101,0.00022288553751687035,0.36738342695936393
21,0.056825441188213685,0.05594336986541748,0.0008820713227962046,1.5522472053928502
22,0.060678351832627965,0.05126028135418892,0.009418070478439046,15.521302398617163
23,0.06856384252974526,0.04877849668264389,0.01978534584710137,28.85682178404431
24,0.0727062205541803,0.047665029764175415,0.025041190790004886,34.441607058015514
25,0.05164497324922143,0.04991351068019867,0.0017314625690227625,3.352625551120534
26,0.07263634911762358,0.049032099545001984,0.023604249572621597,32.49647023750889
27,0.08751896510420826,0.04877443611621857,0.03874452898798969,44.26986647049224
28,0.073275173680428,0.0471225306391716,0.026152643041256404,35.69100109583479
29,0.07170805717479836,0.04705924540758133,0.024648811767217033,34.3738385034364
30,0.06315379701349516,0.04837954789400101,0.014774249119494154,23.39407892820298
31,0.0566258085123373,0.056156378239393234,0.00046943027294406303,0.8290040977371411
32,0.05318214485346961,0.051759783178567886,0.0014223616749017218,2.674509798017157
33,0.05175477122095344,0.05074436962604523,0.001010401594908214,1.9522868540845617
34,0.05469935319013016,0.0528470054268837,0.0018523477632464633,3.3864162100927677
35,0.05518845324602731,0.05517369881272316,1.4754433304148273e-05,0.026734638201171834
36,0.05266309989619101,0.055512312799692154,0.0028492129035011457,5.410264320021963
37,0.051275652798850116,0.05790245532989502,0.006626802531044904,12.923877453186735
38,0.05073664457398387,0.058309830725193024,0.007573186151209152,14.926462352404831
39,0.052792861135510655,0.05839666724205017,0.005603806106539516,10.614704310409435
40,0.065539407490218,0.05889587104320526,0.006643536447012738,10.136705077787452
41,0.05278287950171684,0.06704596430063248,0.014263084798915637,27.02218017198495
42,0.055737443104687374,0.08283506333827972,0.02709762023359235,48.616547017947994
43,0.0591012536932045,0.07439053803682327,0.015289284343618773,25.869644699900405
44,0.061436956000958234,0.06725355982780457,0.005816603826846331,9.467597689500778
45,0.060678351832627965,0.05964488908648491,0.001033462746143056,1.7031819667642032
46,0.06615826878543479,0.05443715304136276,0.01172111574407203,17.71678122667641
47,0.06565918709574382,0.05080778896808624,0.01485139812765758,22.618918668611236
48,0.06664736884133195,0.052934493869543076,0.013712874971788871,20.57526832669906
49,0.06771540365727062,0.05193983390927315,0.015775569747997473,23.296870277614666
50,0.0837858340653198,0.05372262001037598,0.030063214054943818,35.881022598052084
51,0.1125828475604887,0.05110979825258255,0.06147304930790615,54.60249997218965
52,0.08767867124490936,0.049529481679201126,0.03814918956570823,43.51022777152679
53,0.08262796454523676,0.04869774729013443,0.03393021725510233,41.063842540289585
54,0.06871356703665256,0.05012835934758186,0.018585207689070696,27.047362683350645
55,0.05866206180627645,0.05536584556102753,0.003296216245248923,5.618991463570157
56,0.052852750938273574,0.057964157313108444,0.00511140637483487,9.671031846203148
57,0.057733769863451245,0.061796635389328,0.004062865525876758,7.037242735899674
58,0.05772378822965743,0.06442722678184509,0.006703438552187663,11.612956733743191
59,0.057733769863451245,0.062161728739738464,0.004427958876287219,7.669616736894171
60,0.057653916793100696,0.06165974587202072,0.004005829078920026,6.94806060322929
61,0.05382096941627405,0.05951519310474396,0.005694223688469904,10.579935200401872
62,0.0537411163459235,0.05895598977804184,0.005214873432118343,9.703693906451413
63,0.05464944502116106,0.05808025971055031,0.0034308146893892513,6.2778582436853485
64,0.06412201549149564,0.06246761977672577,0.0016543957147698712,2.58007441295929
65,0.06545955441986745,0.07764443755149841,0.012184883131630964,18.614369192731264
66,0.07290585323005669,0.09550349414348602,0.022597640913429334,30.995647005353295
67,0.07669887407170806,0.08665675669908524,0.00995788262737718,12.98308840631384
68,0.07170805717479836,0.06905547529459,0.0026525818802083656,3.6991406331680814
69,0.0727062205541803,0.06094924733042717,0.011756973223753131,16.170519020434977
70,0.0680148526710852,0.059085384011268616,0.008929468659816586,13.12870396558651
71,0.06763555058692007,0.05659610033035278,0.011039450256567288,16.321964057023862
72,0.06629801165854826,0.057434581220149994,0.008863430438398268,13.369074300519305
73,0.07510181266469695,0.05576304346323013,0.01933876920146682,25.750069825621374
