,actual,1,2,3,4,5,predictions,difference,difference_percentage
0,0.056735606484069306,0.3600568035114897,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.04666149616241455,0.010074110321654756,17.75623976890676
1,0.061496845803721154,0.3600568035114897,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.0474226251244545,0.014074220679266655,22.886085449304506
2,0.08168969096861774,0.3596695068422412,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.0504709854722023,0.031218705496415436,38.21621201677522
3,0.09266948814181905,0.35954040795249154,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.05200883373618126,0.04066065440563779,43.877068084601646
4,0.0796634193084724,0.3423702556158017,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.05012909322977066,0.02953432607870174,37.07388703005458
5,0.05653597380819292,0.3412083656080558,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.04657319188117981,0.009962781927013109,17.62202232655158
6,0.05453964704942905,0.3404337722695585,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.046246498823165894,0.008293148226263154,15.205724046485136
7,0.05006787510979797,0.3423702556158017,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.04551541060209274,0.004552464507705224,9.092585810206145
8,0.04356983151002156,0.3412083656080558,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.044415831565856934,0.0008460000558353706,1.9417106436153668
9,0.06272458676036093,0.3382390911438161,0.8201600449248914,0.2671940232915843,0.41714285714285726,0.3689578713968958,0.04755207523703575,0.015172511523325174,24.189097620191113
10,0.06284436636588676,0.36599535243996895,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04756709188222885,0.015277274483657913,24.309696106588063
11,0.058492374031781515,0.3378517944745675,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.046796299517154694,0.011696074514626821,19.995896402276
12,0.048979877026271657,0.3390136844823134,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.0452503003180027,0.0037295767082689557,7.614508109664094
13,0.04685378902818813,0.3390136844823134,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04489535838365555,0.001958430644532584,4.179876772301927
14,0.04716321967579653,0.33772269558481793,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04494334012269974,0.0022198795530967916,4.706802394655005
15,0.04878024435039527,0.3077717531629228,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.045123469084501266,0.0036567752658940023,7.496426708375788
16,0.0537411163459235,0.29163439194422924,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.045892152935266495,0.007848963410657002,14.605136521791625
17,0.04176315579334025,0.2893106119287374,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.043883416801691055,0.0021202610083508044,5.076869714641898
18,0.04692366046474487,0.3135812032016525,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04483078420162201,0.0020928762631228573,4.460172634433106
19,0.05404056535973808,0.317712367673638,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04601888358592987,0.008021681773808208,14.84381541978577
20,0.06066837019883414,0.3320423444358378,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.047124676406383514,0.013543693792450628,22.32414312113975
21,0.056825441188213685,0.3603150012909888,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04659609496593475,0.010229346222278932,18.001349410377525
22,0.060678351832627965,0.3838109992254066,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.047279179096221924,0.013399172736406041,22.082295137754613
23,0.06856384252974526,0.3831655047766589,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04850015416741371,0.02006368836233155,29.262782863471017
24,0.0727062205541803,0.38329460366640844,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04912545531988144,0.02358076523429886,32.432940475466744
25,0.05164497324922143,0.38277820810741026,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.045821450650691986,0.005823522598529446,11.27606857385145
26,0.07263634911762358,0.3596695068422412,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04904692620038986,0.02358942291723372,32.47605806706256
27,0.08751896510420826,0.35954040795249154,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.05119677633047104,0.03632218877373722,41.502077555977294
28,0.073275173680428,0.336560805577072,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04907555878162384,0.024199614898804164,33.025667062005134
29,0.07170805717479836,0.3124193131939065,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.048770394176244736,0.022937662998553626,31.987567230611035
30,0.06315379701349516,0.31319390653240387,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04745972529053688,0.01569407172295828,24.85055921436467
31,0.0566258085123373,0.2889233152594888,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04635138064622879,0.010274427866108507,18.14442590055023
32,0.05318214485346961,0.2893106119287374,0.8145444335252003,0.28477257745550427,0.4095238095238096,0.28847006651884693,0.04579398036003113,0.00738816449343848,13.892189782481998
